user_id,user_name,user_real_name,user_password,user_newpassword,user_email,user_options,user_touched,user_token,user_email_authenticated,user_email_token,user_email_token_expires,user_registration,user_newpass_time,user_editcount,user_password_expires
62160,MoiraMoira,,,,,,,,,,,20060918115430,,529886,
264532,ErikvanB,,,,,,,,,,,20090930175837,,430487,
474,Romaine,,,,,,,,,,,,,367069,
85447,TXiKiBoT,,,,,,,,,,,20070104235811,,333926,
12885,RonaldB,,,,,,,,,,,,,327971,
84041,Rudolphous,,,,,,,,,,,20061230161235,,213466,
350218,Diamantino,,,,,,,,,,,20101113140611,,200447,
4860,Michiel1972,,,,,,,,,,,,,195596,
9284,Wikix-oud,,,,,,,,,,,,,187873,
10635,RoboRex,,,,,,,,,,,,,186166,
28710,Mexicano,,,,,,,,,,,20060226224359,,169402,
153734,Toth,,,,,,,,,,,20080213000410,,164120,
179643,Goudsbloem,,,,,,,,,,,20080804141920,,150337,
104399,Joopwiki,,,,,,,,,,,20070405085419,,145177,
150313,Capaccio,,,,,,,,,,,20080120120813,,131676,
16680,Maniago,,,,,,,,,,,,,131258,
6050,Sonuwe,,,,,,,,,,,,,129295,
207191,De Wikischim,,,,,,,,,,,20081231131846,,128423,
34450,Jvhertum,,,,,,,,,,,20060403072045,,128261,
566366,MediaWiki message delivery,,,,,,,,,,,20131119213409,,124032,
85656,Lymantria,,,,,,,,,,,20070105191736,,121212,
176792,MrBlueSky,,,,,,,,,,,20080715140927,,120368,
146462,Cycn,,,,,,,,,,,20071227152928,,118278,
147337,AGL,,,,,,,,,,,20080103122332,,118261,
54480,Machaerus,,,,,,,,,,,20060811075041,,117859,
51717,Vis met 1 oog,,,,,,,,,,,20060723105247,,115767,
87122,Japiot,,,,,,,,,,,20070111125454,,115658,
16811,Kleuske,,,,,,,,,,,,,114656,
470471,Der Belsj,,,,,,,,,,,20120730184354,,112868,
649051,Wikiwerner,,,,,,,,,,,20141202180217,,110788,
67486,Agora,,,,,,,,,,,20061012152358,,109838,
1742,Advance,,,,,,,,,,,,,109557,
11600,Peter b,,,,,,,,,,,,,108376,
5486,MichielDMN,,,,,,,,,,,,,105110,
162984,Pompidom,,,,,,,,,,,20080415140756,,103239,
33107,Wikiklaas,,,,,,,,,,,20060325131954,,99348,
49512,FakirNL,,,,,,,,,,,20060707133225,,97197,
523057,Tulp8,,,,,,,,,,,20130405174057,,96162,
10033,Edoderoo,,,,,,,,,,,,,94453,
142236,Jordyvandebunt,,,,,,,,,,,20071125104530,,93698,
47530,Maiella,,,,,,,,,,,20060622214228,,93126,
10554,Algont,,,,,,,,,,,,,92260,
100641,Fred Lambert,,,,,,,,,,,20070315144430,,86645,
27863,Februari,,,,,,,,,,,20060221083613,,86570,
55807,Hanhil,,,,,,,,,,,20060819154612,,85466,
243062,Wiki13,,,,,,,,,,,20090614124624,,82821,
63434,CommonsDelinker,,,,,,,,,,,20060924094215,,82392,
10942,Magalhães,,,,,,,,,,,,,81639,
8623,LimoWreck,,,,,,,,,,,,,81525,
3,Andre Engels,,,,,,,,,,,,,80359,
